table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1277618/table_2|1|36|звук|[p] [t] [tʃ] перед /i/ [k] [ʔ] [b] [m] в начале слов [ʙ] перед /o/ [ɡ] [n] в начале слов [ɹɹ̼͡͡] [s] [ʃ] перед /i/ [h] 
dataset/Dataset/data/1389139/table_5|0|36|звук|p b t d k g f v s z ks gz ʃ ʒ l r m n ɲ ŋ dʒ tʃ 
dataset/Dataset/data/2171654/table_10|10|36|звук|HDA(Azalia) HDA(Azalia) HDA(Azalia) HDA(Azalia) 
dataset/Dataset/data/3672166/table_0|7|36|звук|Особенности звукового и музыкального оформления 
dataset/Dataset/data/42315/table_6|0|36|звук|a ɑ e ɛ i o ɔ y ø œ ə u ɑ̃ ɛ̃ ɔ̃ œ̃ j w(+a, i, ɛ, ɛ̃) ɥ(+гласн.) 
dataset/Dataset/data/4902067/table_0|7|36|звук|ᑦ ᐣ ᗮ ᐪ ᔆ ᙆ ᒡ ᑊ ᙚ ᐟ ᐠ ᘁ ᐥ ᐦ ᑋ 
dataset/Dataset/data/5314654/table_5|6|36|звук|Номинация Номинация 
dataset/Dataset/data/5481745/table_5|0|36|звук|a v ɣ w e, ε i j (j̊) k q l l̥ m n 
dataset/Dataset/data/5481745/table_5|3|36|звук|(n̥) ŋ o p r s t u (f) x χ (ʃ) ɨ 
dataset/Dataset/data/6523724/table_0|4|36|звук|ф х хь хӀ ц цӀ ч чӀ ш ъ I 
dataset/Dataset/data/6523724/table_0|2|36|звук|кх кӀ л м н п пӀ р с т тӀ 
dataset/Dataset/data/6523724/table_0|0|36|звук|б в г гӀ д дж дз з й к къ 
dataset/Dataset/data/7987474/table_0|1|36|звук|[a] [b] [ʦ] [ʧ] [ʨ] [d] [ʤ] [ʥ] [e] [f] [g] [x] [i] [j] [k] [l] [λ] [m] [n] [ɲ] [o] [p] [r] [s] [ʃ] [t] [u] [v] [z] [ʒ] 
