table_id|column_id|label_id|label|column_data
dataset/Dataset/data/1033678/table_0|0|151|требование|Минимальные Рекомендуемые Wintel Операционная система Windows 2000 с SP4, Windows XP с SP2 и выше Центральный процессор Intel Core 2 Duo E4300 1,8 ГГцили AMD Athlon 64 X2 4400+ 2,4 Ггц Intel Core 2 Duo E6400или AMD Athlon 64 X2 4200+ Объём RAM 1 ГБ 1,5 ГБ Объём свободного места на жёстком диске 10 ГБ свободного места Видеокарта DirectX 8.0-совместимая видеокарта c 128 МБ памяти (NVIDIA GeForce 6600или ATI Radeon X700) DirectX 9.0c-совместимая видеокарта c 256 МБ памяти (NVIDIA GeForce 7900или ATI Radeon X1950) Звуковая плата DirectX 9.0-совместимая звуковая карта Сеть Интернет-соединение или LAN для игры в многопользовательском режиме Устройства ввода Компьютерная клавиатура и мышь Операционная система Центральный процессор Объём RAM Объём свободного места на жёстком диске Видеокарта Звуковая плата Сеть Устройства ввода 
dataset/Dataset/data/1065744/table_0|0|151|требование|Минимальные Рекомендуемые Windows Операционная система Windows Vista SP1, Windows XP SP3, .NET Framework 3.5 Центральный процессор Intel Core 2 Duo 1,8 ГГц, AMD Athlon 64 X2 2,4 ГГц Intel Core 2 Quad 2,4 ГГц, AMD Phenom X3 2,1 ГГц Объём RAM 1,5 Гб (Windows XP) 2 Гб (Windows Vista) 2 Гб (Windows XP) 2,5 GB (Windows Vista) Видеокарта 256 Мб Nvidia GeForce 7900 / 256 Мб ATI Radeon x1900 512 Мб Nvidia GeForce 8800 gt 512 mb / 512 Мб ATI Radeon 3870 Звуковая плата 100% DirectX 9.0c Сеть Интернет соединение для многопользовательской игры Операционная система Центральный процессор Объём RAM Видеокарта Звуковая плата Сеть 
dataset/Dataset/data/1115112/table_0|0|151|требование|Минимальные Рекомендуемые Windows  Операционная система Win 95 — DirectX 8.0a или Win 98/ME/2K/XP — Последний DirectX 9.0c Центральный процессор 500 MHz 1.5 GHz Объём RAM 128 (256 для Win XP) 512 Объём свободного места на жёстком диске 200 МБ 300 МБ Информационный носитель Свободная для скачивания Видеокарта 3D-ускоритель Неинтегрированный 128MB 3D-ускоритель с поддержкой GL шейдеров Сеть Dial-Up Модем (для онлайн игры), Сетевой адаптер (для игры по локальной сети) Широкополосный модем (для онлайн игры), Сетевой адаптер (для игры по локальной сети) Устройства ввода клавиатура и мышь Операционная система Центральный процессор Объём RAM Объём свободного места на жёстком диске Информационный носитель Видеокарта Сеть Устройства ввода 
dataset/Dataset/data/1401106/table_0|0|151|требование|Минимальные Рекомендуемые Microsoft Windows Операционная система Windows 95, 98, ME, XP, Vista, 7, 8 Центральный процессор Pentium II 400 MHz Pentium III 500 MHz Объём RAM 64 (512) Мб 128 (1GB) Мб Объём свободного места на жёстком диске 90 Мб 610 Мб Информационный носитель CD Видеокарта DirectX-совместимая видеокарта, Direct3D 8 3D графический адаптер, совместимый с DirectX 9.0c Звуковая плата DirectX 8 Environmental Audio-совместимая Устройства ввода клавиатура, компьютерная мышь Операционная система Центральный процессор Объём RAM Объём свободного места на жёстком диске Информационный носитель Видеокарта Звуковая плата Устройства ввода 
dataset/Dataset/data/1474864/table_0|4|151|требование|все желающие прошедшие велопоход 1-й к/с[footnotes 1] прошедшие велопоход 2-й к/с[footnotes 1] прошедшие велопоход 3-й к/с[footnotes 1] прошедшие велопоход 4-й к/с[footnotes 1] прошедшие велопоход 5-й к/с 
dataset/Dataset/data/150409/table_0|0|151|требование|Минимальные Рекомендуемые Microsoft Windows Операционная система Windows 98, Windows 2000, Windows ME, Windows XP Центральный процессор Pentium или AMD Athlon 700 МГц (одно ядро) Pentium или AMD Athlon 1 ГГц (одно ядро) Объём RAM 64 MB 128 MB Объём свободного места на жёстком диске 1,8 Гб свободного пространства 2,3 Гб свободного пространства Видеокарта DirectX 8.1 совместимая плата с 32 Мб RAM DirectX 8.1 совместимая плата с 64 Мб RAM Звуковая плата DirectX 8.1 совместимая карта Операционная система Центральный процессор Объём RAM Объём свободного места на жёстком диске Видеокарта Звуковая плата 
dataset/Dataset/data/1504606/table_2|6|151|требование|Крепость Мордора 1 уровня Чёрная цитадель 2-4 уровня Чёрная цитадель 2-4 уровня Чёрная цитадель 2-4 уровня Чёрная цитадель 5 уровня Нет 
dataset/Dataset/data/1512766/table_2|0|151|требование|Рекомендации ПК (Microsoft Windows) Операционная система Windows XP, Vista, 7, 8 Центральный процессор 1.2 ГГц Объём RAM 1 Гб Объём жесткого диска 2 Гб Видеокарта С поддержкой Direct X 9.0c и выше Дисплей 900x600 и больше Сеть Только через Steam Операционная система Центральный процессор Объём RAM Объём жесткого диска Видеокарта Дисплей Сеть 
dataset/Dataset/data/1512782/table_2|0|151|требование|Рекомендации ПК (Microsoft Windows) Операционная система Windows XP, Vista, 7, 8 Центральный процессор 1.2 ГГц Объём RAM 1 Гб Объём жесткого диска 2 Гб Видеокарта С поддержкой Direct X 9.0c и выше Дисплей 900x600 и больше Сеть Только через Steam Операционная система Центральный процессор Объём RAM Объём жесткого диска Видеокарта Дисплей Сеть 
dataset/Dataset/data/1518214/table_1|0|151|требование|Минимальные Рекомендуемые Windows Операционная система Windows 98/98SE/ME/2000 Pro (SP3)/XP (SP1)/7(обычная) Центральный процессор 800 МГц Intel Pentium III /AMD Athlon или 1,2 ГГц Intel Celeron/AMD Duron Intel Pentium IV или AMD Athlon XP Объём RAM 256 Мб 512 Мб Объём свободного места на жёстком диске 915 Мб свободного пространства (635 Мб дополнительно, если видеокарта не поддерживает сжатие текстур DirectX) 1,55 Гб свободного пространства (635 Мб дополнительно, если видеокарта не поддерживает сжатие текстур DirectX) Информационный носитель 8-скоростной CD / DVD дисковод 16-скоростной CD / DVD дисковод Видеокарта 32 Мб видеокарта, совместимая с DirectX 9.0 (GeForce или лучше) 64 Мб видеокарта, совместимая с DirectX 9.0 (GeForce 3/Radeon 8500 или лучше) и поддержкой компрессии текстур DirectX Звуковая плата Звуковая карта, совместимая с DirectX 9.0 Звуковая карта, совместимая с DirectX 9.0 Устройства ввода Клавиатура, Мышь Геймпад (USB или порт джойстика), Клавиатура, Мышь Операционная система Центральный процессор Объём RAM Объём свободного места на жёстком диске Информационный носитель Видеокарта Звуковая плата Устройства ввода 
