table_id|column_id|label_id|label|column_data
dataset/Dataset/data/25180/table_2|1|142|структура|Масса 160—250 кДа, содержат несколько повторов контрольных белков комплемента Масса 145 кДа, содержат несколько повторов контрольных белков комплемента Интегрины с α-субъединицей массой 165 кДа и β-субъединицей массой 95 кДа Интегрины с α-субъединицей массой 150 кДа и β-субъединицей массой 95 кДа 
dataset/Dataset/data/2722426/table_1|0|142|структура|Командующий, Африканское командование США (USAFRICOM) Командующий, Центральное командование США (USCENTCOM) Командующий Европейским командованием США (USEUCOM) и Верховный главнокомандующий объединенными вооруженными силами НАТО в Европе (SACEUR) Командующий Северным командованием США (USNORTHCOM) и Командующий Североамериканского аэрокосмического оборонного командованием(NORAD) Командующий Тихоокеанским командования США (USPACOM) Командующий Южным командованием США (USSOUTHCOM) Командующий командованием специальных операций(USSOCOM) Командующий стратегическим командованием США (USSTRATCOM) Командующий транспортным командованием США (USTRANSCOM) 
dataset/Dataset/data/2756118/table_0|0|142|структура|Совершенная конкуренция Монополистическая конкуренция Олигополия Олигопсония Монополия Монопсония 
dataset/Dataset/data/2890728/table_1|6|142|структура|Решетчатая башня Решетчатая башня Вантовый мост Вантовая мачта Вантовая мачта Вантовая мачта Смотровая башня Опора линии электропередачи Вантовый мост Дымовая труба Исследовательская башня лифта Вантовая мачта Дымовая труба 
dataset/Dataset/data/3880983/table_0|1|142|структура|Турция Мальта Португалия, Мальта 
dataset/Dataset/data/3892626/table_0|2|142|структура|"Кафедра летательных аппаратов Кафедра двигателей летательных аппаратов Кафедра космических аппаратов Кафедра космического машиностроения Кафедра систем автоматического управления Кафедра компьютерного моделирования Кафедра технической механики Кафедра инженерной графики Кафедра физики Филиал кафедры САУ в г.Железногорске Кафедра автоматизации производственных процессов Кафедра радиофизики и специальных радиоэлектронных устройств Кафедра системотехники Кафедра электротехники Кафедра информатики и вычислительной техники Кафедра информационно-управляющих систем Кафедра безопасности информационных технологий Кафедра системного анализа и исследования операций Кафедра электронной техники и телекоммуникаций Кафедра прикладной математики Кафедра высшей математики Кафедра замкнутых экосистем ""Научно-образовательный центр """"Замкнутые космические системы"""""" ""Научно-образовательный центр """"Микроэлектронные технологии"""""" Информационное бюро ""Научно-образовательный центр """"Институт космических исследований и высоких технологий"""""" ""Научно-образовательный центр """"Институт космических исследований и высоких технологий"""""" ""Научно-образовательный центр """"Институт космических исследований и высоких технологий"""""" Заочное отделение Кафедра информационных экономических систем Кафедра логистики Кафедра финансов и кредита Кафедра бухгалтерского учёта Кафедра менеджмента Кафедра экономики Кафедра организации и управления наукоёмкими производствами Межкафедральная лаборатория Кафедра технической эксплуатации летательных аппаратов и двигателей Кафедра технической эксплуатации авиационных электросистем и пилотажно-навигационных комплексов ""Межфакультетский центр """"Авиакосмические исследования студентов"""""" Кафедра таможенного дела Учебный авиационно-технический центр Кафедра иностранного языка Кафедра лингвистики, теории и практики перевода Кафедра психологии и педагогики Кафедра психологии труда и инженерной психологии Кафедра социальной работы и социологии Кафедра рекламы и культурологии Кафедра общественных связей Кафедра делового иностранного языка Кафедра технического иностранного языка Кафедра правоведения Кафедра философии и социальных наук Кафедра истории и гуманитарных наук Кафедра технологии машиностроения Кафедра сварки летательных аппаратов Кафедра технического регулирования и метрологии Кафедра холодильной, криогенной техники и кондиционирования Кафедра основ конструирования машин Кафедра РВСН Кафедра ГРАУ Авиационный учебный центр Межрегиональный учебно-научный центр безопасности, подготовки специалистов охраны организаций и специальных программ Региональный учебный центр по подготовке кадров для системы государственных и муниципальных закупок Управление информационно-коммуникационных технологий Учебно-методический центр Факультет довузовской и фундаментальной подготовки Факультет повышения квалификации преподавателей Факультет подготовки кадров Центр научно-технического творчества молодежи Центр профессиональных компетенций Центр развития международного бизнес-образования Центр развития современных средств обучения Центр систем менеджмента "
dataset/Dataset/data/5734483/table_0|2|142|структура|"Кафедра летательных аппаратов Кафедра двигателей летательных аппаратов Кафедра космических аппаратов Кафедра космического машиностроения Кафедра систем автоматического управления Кафедра компьютерного моделирования Кафедра технической механики Кафедра инженерной графики Кафедра физики Филиал кафедры САУ в г.Железногорске Кафедра автоматизации производственных процессов Кафедра радиофизики и специальных радиоэлектронных устройств Кафедра системотехники Кафедра электротехники Кафедра информатики и вычислительной техники Кафедра информационно-управляющих систем Кафедра безопасности информационных технологий Кафедра системного анализа и исследования операций Кафедра электронной техники и телекоммуникаций Кафедра прикладной математики Кафедра высшей математики Кафедра замкнутых экосистем ""Научно-образовательный центр """"Замкнутые космические системы"""""" ""Научно-образовательный центр """"Микроэлектронные технологии"""""" Информационное бюро ""Научно-образовательный центр """"Институт космических исследований и высоких технологий"""""" ""Научно-образовательный центр """"Институт космических исследований и высоких технологий"""""" ""Научно-образовательный центр """"Институт космических исследований и высоких технологий"""""" Заочное отделение Кафедра информационных экономических систем Кафедра логистики Кафедра финансов и кредита Кафедра бухгалтерского учёта Кафедра менеджмента Кафедра экономики Кафедра организации и управления наукоёмкими производствами Межкафедральная лаборатория Кафедра технической эксплуатации летательных аппаратов и двигателей Кафедра технической эксплуатации авиационных электросистем и пилотажно-навигационных комплексов ""Межфакультетский центр """"Авиакосмические исследования студентов"""""" Кафедра таможенного дела Учебный авиационно-технический центр Кафедра иностранного языка Кафедра лингвистики, теории и практики перевода Кафедра психологии и педагогики Кафедра психологии труда и инженерной психологии Кафедра социальной работы и социологии Кафедра рекламы и культурологии Кафедра общественных связей Кафедра делового иностранного языка Кафедра технического иностранного языка Кафедра правоведения Кафедра философии и социальных наук Кафедра истории и гуманитарных наук Кафедра технологии машиностроения Кафедра сварки летательных аппаратов Кафедра технического регулирования и метрологии Кафедра холодильной, криогенной техники и кондиционирования Кафедра основ конструирования машин Кафедра РВСН Кафедра ГРАУ Авиационный учебный центр Межрегиональный учебно-научный центр безопасности, подготовки специалистов охраны организаций и специальных программ Региональный учебный центр по подготовке кадров для системы государственных и муниципальных закупок Управление информационно-коммуникационных технологий Учебно-методический центр Факультет довузовской и фундаментальной подготовки Факультет повышения квалификации преподавателей Факультет подготовки кадров Центр научно-технического творчества молодежи Центр профессиональных компетенций Центр развития международного бизнес-образования Центр развития современных средств обучения Центр систем менеджмента "
dataset/Dataset/data/6181913/table_6|5|142|структура|1 (q-1)*(q-2)/2 3 8 15 14 14 46 73 3 9 231 129 1016 
dataset/Dataset/data/62266/table_0|0|142|структура|триптамин триптамин производное тирозина производное тирозина производное тирозина (катехоламин) производное тирозина (катехоламин) производное тирозина (катехоламин) пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид пептид глюкокортикоид минералокортикоид половой стероид (андроген) половой стероид (андроген) половой стероид (андроген) половой стероид (андроген) половой стероид (эстроген) половой стероид (прогестин) стерин эйкозаноид эйкозаноид эйкозаноид эйкозаноид 
dataset/Dataset/data/7329535/table_1|1|142|структура|Косово* UNMIK Косово* та UNMIK Косово* UNMIK UNMIK Косово Торгово-промышленная ассоциация Республика Косово Республика Косово Республика Косовo Республика Косово Республика Косово Республика Косово Республика Косово Республика Косово (наблюдатель) Косово* 
