table_id|column_id|label_id|label|column_data
dataset/Dataset/data/101524/table_0|1|52|количество|46 2 45 60 18 135 14 320 
dataset/Dataset/data/101533/table_0|4|52|количество|1—4 20—50 3—6 2—4 1—10 10—30 2—20 1—2 
dataset/Dataset/data/1026749/table_3|4|52|количество|248 251 248 
dataset/Dataset/data/1026966/table_0|1|52|количество|320×240 352×240 352×288 400×240 480×576 640×240 320×480 640×360 640×480 800×480 800×600 848×480 960×540 1024×600 1024×768 1152×864 1200×600 1280×720 1280×768 1280×1024 1440×900 1400×1050 1536×960 1536×1024 1600×900 1600×1024 1600×1200 1680×1050 1920×1080 1920×1200 2048×1080 2048×1152 2048×1536 2560×1440 2560×1600 2560×2048 3072×1620 3200×1800 3200×2048 3200×2400 3440×1440 3840×2400 3840×2160 4096×2160 5120×2700 5120×4096 6144×3240 6400×4096 6400×4800 7168×3780 7680×4320 7680×4800 8192×4320 
dataset/Dataset/data/1028198/table_15|2|52|количество|12 12+1 спецвыпуск 12+2 спецвыпуска 12+4 спецвыпуска 12+4 спецвыпуска 12+3 спецвыпуска 12+4 спецвыпуска 12+3 спецвыпуска 12+4 спецвыпуска 
dataset/Dataset/data/1028918/table_0|1|52|количество|154 432 2512 1005 1013 1176 1200 1200 828 907 933 935 928 922 919 
dataset/Dataset/data/1035989/table_0|1|52|количество|29 24 24+30 46 65 6 17+93 
dataset/Dataset/data/10424/table_0|0|52|количество|2 3 4 5 6 7 8 
dataset/Dataset/data/1052975/table_16|3|52|количество|Дивизион Дивизион 8 единиц 4 единицы 4 единицы 4 единицы 12 единиц 4 единицы 
dataset/Dataset/data/1057867/table_0|1|52|количество|2 3 1 1 6 2 
dataset/Dataset/data/1057874/table_0|1|52|количество|1 1 2 3 1 2 5 
dataset/Dataset/data/1061514/table_1|3|52|количество|6 5 4 9 8 7 
dataset/Dataset/data/1073718/table_0|2|52|количество|5 271 7 310 8 755 
dataset/Dataset/data/1105140/table_1|1|52|количество|9 8 4 2 1 1 1 1 1 1 
